Time,Cell,F,bite,bitepoint,lick,lickpoint,licking
39.46852512183236,C2,6.957413,0,0,0,0,0.0
39.56844543859649,C2,7.13889,0,0,0,0,0.0
39.66836575536063,C2,7.949141,0,0,0,0,0.0
39.76828607212476,C2,5.075362,0,0,0,0,0.0
39.86820638888889,C2,4.744859,0,0,0,0,0.0
39.96812670565302,C2,5.63528,0,0,0,0,0.0
40.06804702241715,C2,7.816108,0,0,0,0,0.0
40.16796733918129,C2,7.016107,0,0,0,0,0.0
40.26788765594542,C2,7.377764,0,0,0,0,0.0
40.36780797270955,C2,6.69074,0,0,0,0,0.0
40.46772828947368,C2,4.443644,0,0,0,0,0.0
40.56764860623782,C2,7.25536,0,0,0,0,0.0
40.66756892300195,C2,5.229248,0,0,0,0,0.0
40.76748923976608,C2,6.030402,0,0,0,0,0.0
40.86740955653021,C2,5.578766,0,0,0,0,0.0
40.96732987329435,C2,4.244554,0,0,0,0,0.0
41.06725019005848,C2,5.769331,0,0,0,0,0.0
41.16717050682261,C2,6.711714,0,0,0,0,0.0
41.26709082358674,C2,1.93881,0,0,0,0,0.0
41.36701114035088,C2,4.028217,0,0,0,0,0.0
41.46693145711501,C2,4.021912,0,0,0,0,0.0
41.56685177387914,C2,6.955791,0,0,0,0,0.0
41.66677209064328,C2,4.786902,0,0,0,0,0.0
41.7666924074074,C2,5.048929,0,0,0,0,0.0
41.86661272417154,C2,8.315392,0,0,0,0,0.0
41.96653304093567,C2,7.568169,0,0,0,0,0.0
42.06645335769981,C2,8.614852,0,0,0,0,0.0
42.16637367446394,C2,8.179514,0,0,0,0,0.0
42.26629399122807,C2,6.556336,0,0,0,0,0.0
42.3662143079922,C2,4.205783,0,0,0,0,0.0
42.46613462475634,C2,3.240507,0,0,0,0,0.0
42.56605494152047,C2,4.093936,0,0,0,0,0.0
42.6659752582846,C2,5.497438,0,0,0,0,0.0
42.76589557504873,C2,5.167619,0,0,0,0,0.0
42.86581589181286,C2,4.805168,0,0,0,0,0.0
42.965736208577,C2,4.348433,0,0,0,0,0.0
43.06565652534113,C2,4.04864,0,0,0,0,0.0
43.16557684210526,C2,2.751272,0,0,0,0,0.0
43.26549715886939,C2,4.793032,0,0,0,0,0.0
43.36541747563353,C2,6.566567,0,0,0,0,0.0
43.46533779239766,C2,6.643688,0,0,0,0,0.0
43.5652581091618,C2,9.017625,0,0,0,0,0.0
43.66517842592592,C2,8.980989,0,0,0,0,0.0
43.76509874269006,C2,9.219076,0,0,0,0,0.0
43.86501905945419,C2,8.369445,0,0,0,0,0.0
43.96493937621833,C2,7.963931,0,0,0,0,0.0
44.06485969298246,C2,6.771062,0,0,0,0,0.0
44.16478000974659,C2,4.735147,0,0,0,0,0.0
44.26470032651072,C2,3.720497,0,0,0,0,0.0
44.36462064327485,C2,2.600395,0,0,0,0,0.0
44.46454096003899,C2,4.472064,0,0,0,0,0.0
44.56446127680312,C2,1.260171,0,0,0,0,0.0
44.66438159356725,C2,2.949669,0,0,0,0,0.0
44.76430191033138,C2,4.005311,0,0,0,0,0.0
44.86422222709552,C2,5.057755,0,0,0,0,0.0
44.96414254385965,C2,3.231479,0,0,0,0,0.0
45.06406286062378,C2,4.547717,0,0,0,1,0.0
45.16398317738791,C2,1.702456,0,0,0,0,1.0
45.26390349415205,C2,1.735486,0,0,0,0,1.0
45.36382381091618,C2,3.310712,0,0,0,0,1.0
45.46374412768031,C2,0.6052374,0,0,0,0,1.0
45.56366444444444,C2,1.307644,0,0,0,0,1.0
45.66358476120858,C2,0.6485896,0,0,0,0,0.0
45.76350507797271,C2,2.774194,0,0,0,0,0.0
45.86342539473684,C2,2.856185,0,0,0,0,0.0
45.96334571150098,C2,3.707281,0,0,0,0,0.0
46.0632660282651,C2,3.100282,0,0,0,0,0.0
46.16318634502924,C2,3.24012,0,0,0,0,0.0
46.26310666179337,C2,5.291919,0,0,0,0,0.0
46.36302697855751,C2,7.460071,0,0,0,0,0.0
46.46294729532164,C2,10.85962,0,0,0,0,0.0
46.56286761208577,C2,9.474422,0,0,0,0,0.0
46.6627879288499,C2,7.07347,0,0,0,0,0.0
46.76270824561404,C2,6.792756,0,0,0,0,0.0
46.86262856237817,C2,8.80444,0,0,0,0,0.0
46.9625488791423,C2,10.09917,0,0,0,0,0.0
