Time,Cell,F,bite,bitepoint,biting,lickpoint
99.22065632,C26,2.064301,0,0,0,0
99.32057642,C26,2.370248,0,0,0,0
99.42049652,C26,2.258591,0,0,0,0
99.52041661,C26,1.08389,0,0,0,0
99.62033671,C26,1.911329,0,0,0,0
99.72025681,C26,2.191069,0,0,0,0
99.82017691,C26,1.456736,0,0,0,0
99.920097,C26,1.960566,0,0,0,0
100.0200171,C26,1.78357,0,0,0,0
100.1199372,C26,1.188693,0,0,0,0
100.2198573,C26,1.19389,0,0,0,0
100.3197774,C26,0.8754663,0,0,0,0
100.4196975,C26,0.4468988,0,0,0,0
100.5196176,C26,1.659993,0,0,0,0
100.6195377,C26,-0.05423244,0,0,0,0
100.7194578,C26,0.8823599,0,0,0,0
100.8193779,C26,-3.045015,0,0,0,0
100.919298,C26,-2.201486,0,0,0,0
101.0192181,C26,-0.409694,0,0,0,0
101.1191382,C26,-0.2608753,0,0,0,0
101.2190583,C26,-2.066552,0,0,0,0
101.3189784,C26,-2.075738,0,0,0,0
101.4188985,C26,-2.244412,0,0,0,0
101.5188186,C26,-2.489108,0,0,0,0
101.6187387,C26,-1.239166,0,0,0,0
101.7186587,C26,-1.41169,0,0,0,0
101.8185788,C26,-1.937083,0,0,0,0
101.9184989,C26,-2.811039,0,0,0,0
102.018419,C26,-1.847868,0,0,0,0
102.1183391,C26,0.02851568,0,0,0,0
102.2182592,C26,-0.2276362,0,0,0,0
102.3181793,C26,-1.337937,0,0,0,0
102.4180994,C26,0.6399121,0,0,0,0
102.5180195,C26,0.9841546,0,0,0,0
102.6179396,C26,1.956375,0,0,0,0
102.7178597,C26,0.6808543,0,0,0,0
102.8177798,C26,-1.983161,0,0,0,0
102.9176999,C26,-2.279118,0,0,0,0
103.01762,C26,-0.9774287,0,0,0,0
103.1175401,C26,-0.6590846,0,0,0,0
103.2174602,C26,-1.273977,0,0,0,0
103.3173803,C26,-0.6566209,0,0,0,0
103.4173004,C26,1.746335,0,0,0,0
103.5172205,C26,0.2997989,0,0,0,0
103.6171406,C26,0.9214648,0,0,0,0
103.7170607,C26,-1.653111,0,0,0,0
103.8169808,C26,-0.6232631,0,0,0,0
103.9169009,C26,-0.3575905,0,0,0,0
104.016821,C26,-0.9024385,0,0,0,0
104.1167411,C26,1.204409,0,0,0,0
104.2166612,C26,-0.1070734,0,0,0,0
104.3165813,C26,1.042912,0,0,0,0
104.4165014,C26,-0.7604032,0,0,0,0
104.5164215,C26,0.9506933,0,0,0,0
104.6163416,C26,-0.9093475,0,0,0,0
104.7162617,C26,-2.695866,0,0,0,0
104.8161818,C26,0.2226206,0,0,0,0
104.9161019,C26,-1.103532,0,0,0,0
105.016022,C26,0.356566,0,0,0,0
105.115942,C26,-1.194858,0,0,0,0
105.2158621,C26,1.962424,0,0,0,0
105.3157822,C26,0.4202475,0,0,0,0
105.4157023,C26,0.8843024,0,0,0,0
105.5156224,C26,0.335108,0,0,0,0
105.6155425,C26,0.4326103,0,0,0,0
105.7154626,C26,0.9267738,0,0,0,0
105.8153827,C26,0.5264602,0,0,0,0
105.9153028,C26,0.459953,0,0,0,0
106.0152229,C26,0.8764358,0,0,0,0
106.115143,C26,0.2036816,0,0,0,0
106.2150631,C26,-0.1185614,0,0,0,0
106.3149832,C26,-0.6938028,0,0,0,0
106.4149033,C26,-0.2751465,0,0,0,0
106.5148234,C26,-1.089881,0,0,0,0
106.6147435,C26,0.2194007,0,0,0,0
106.7146636,C26,0.7878281,0,0,0,0
106.8145837,C26,-0.3970119,0,0,0,0
106.9145038,C26,0.2985413,0,0,0,0
107.0144239,C26,-0.3068179,0,0,0,0
107.114344,C26,-0.962056,0,0,0,0
107.2142641,C26,-0.09284414,0,0,0,0
107.3141842,C26,-0.1035795,0,0,0,0
107.4141043,C26,-0.6515945,0,0,0,0
107.5140244,C26,1.857544,0,0,0,0
107.6139445,C26,0.4492483,0,0,0,0
107.7138646,C26,0.8094376,0,0,0,0
107.8137847,C26,-0.2157077,0,0,0,0
107.9137048,C26,-1.78703,0,0,0,0
108.0136249,C26,-0.4704384,0,0,0,0
108.113545,C26,0.5575365,0,0,0,0
108.2134651,C26,-0.5090226,0,0,0,0
108.3133852,C26,-0.2254127,0,0,0,0
108.4133052,C26,-0.5624178,0,0,0,0
108.5132253,C26,-0.691912,0,0,0,0
108.6131454,C26,-1.443742,0,0,0,0
108.7130655,C26,-0.3359782,0,0,0,0
108.8129856,C26,-0.9319256,0,0,0,0
108.9129057,C26,-0.303739,0,0,0,0
109.0128258,C26,0.18638,0,0,0,0
109.1127459,C26,2.124226,0,0,0,0
109.212666,C26,1.026305,0,0,0,0
109.3125861,C26,-1.815379,0,0,0,0
109.4125062,C26,0.9782788,0,0,0,0
109.5124263,C26,3.845725,0,0,0,0
109.6123464,C26,1.445318,0,0,0,0
109.7122665,C26,1.964762,0,0,0,0
109.8121866,C26,1.482712,0,0,0,0
109.9121067,C26,3.422639,0,0,0,0
110.0120268,C26,1.533664,0,0,0,0
110.1119469,C26,0.4950682,0,0,0,0
110.211867,C26,2.300929,0,0,0,0
110.3117871,C26,0.9454473,0,0,0,0
110.4117072,C26,2.969804,0,0,0,0
110.5116273,C26,1.855784,0,0,0,0
110.6115474,C26,2.955823,0,0,0,0
110.7114675,C26,2.702908,0,0,0,0
110.8113876,C26,2.659127,0,0,0,0
110.9113077,C26,1.413785,0,0,0,0
111.0112278,C26,2.91271,0,0,0,0
111.1111479,C26,2.435559,0,0,0,0
111.211068,C26,0.7766021,0,0,0,0
111.3109881,C26,0.003452558,0,0,0,0
111.4109082,C26,1.127013,0,0,0,0
111.5108283,C26,2.862866,0,0,0,0
111.6107484,C26,0.4511468,0,0,0,0
111.7106684,C26,-0.06964394,0,0,0,0
111.8105885,C26,3.59119,0,0,0,0
111.9105086,C26,4.563906,0,0,0,0
112.0104287,C26,2.461283,0,0,0,0
112.1103488,C26,2.322918,0,0,0,0
112.2102689,C26,3.545328,0,0,0,0
112.310189,C26,2.211637,0,0,0,0
112.4101091,C26,1.054623,0,0,0,0
112.5100292,C26,-0.5633431,0,0,0,0
112.6099493,C26,-0.1230197,0,0,0,0
112.7098694,C26,-0.9586306,0,0,0,0
112.8097895,C26,-1.017721,0,0,0,0
112.9097096,C26,0.460262,0,0,0,0
113.0096297,C26,2.422325,0,0,0,0
113.1095498,C26,3.668746,0,0,0,0
113.2094699,C26,2.571481,0,0,0,0
113.30939,C26,3.176815,0,0,0,0
113.4093101,C26,2.464601,0,0,0,0
113.5092302,C26,2.732361,0,0,0,0
113.6091503,C26,3.427284,0,0,0,0
113.7090704,C26,1.66484,0,0,0,0
113.8089905,C26,1.331315,0,0,0,0
113.9089106,C26,2.233184,0,0,0,0
114.0088307,C26,1.405766,0,0,0,0
114.1087508,C26,2.01908,0,0,0,0
114.2086709,C26,0.7079255,0,0,0,0
114.308591,C26,2.002692,0,0,0,0
114.4085111,C26,2.756002,0,0,0,0
114.5084312,C26,2.843394,0,0,0,0
114.6083513,C26,2.060513,0,0,0,0
114.7082714,C26,2.764302,0,0,0,0
114.8081915,C26,5.016961,0,0,0,0
114.9081116,C26,6.145606,0,0,0,0
115.0080317,C26,5.995516,0,0,0,0
115.1079517,C26,4.441522,0,0,0,0
115.2078718,C26,1.691689,0,0,0,0
115.3077919,C26,2.799207,0,0,0,0
115.407712,C26,1.118283,0,0,0,0
115.5076321,C26,4.621827,0,0,0,0
115.6075522,C26,4.265622,0,0,0,0
115.7074723,C26,3.531687,0,0,0,0
115.8073924,C26,2.290536,0,0,0,0
115.9073125,C26,2.073608,0,0,0,0
116.0072326,C26,2.025243,0,0,0,0
116.1071527,C26,1.874793,0,0,0,0
116.2070728,C26,1.323264,0,0,0,0
116.3069929,C26,2.26754,0,0,0,0
116.406913,C26,3.725935,0,0,0,0
116.5068331,C26,2.064255,0,0,0,0
116.6067532,C26,2.501408,0,0,0,0
116.7066733,C26,1.823779,0,0,0,0
116.8065934,C26,1.034193,0,0,0,0
116.9065135,C26,-0.2324417,0,0,0,0
117.0064336,C26,-0.8341393,0,0,0,0
117.1063537,C26,0.1196552,0,0,0,0
117.2062738,C26,1.57953,0,0,0,0
117.3061939,C26,3.4957,0,0,0,0
117.406114,C26,1.865785,0,0,0,0
117.5060341,C26,0.3692324,0,0,0,0
117.6059542,C26,0.6093841,0,0,0,0
117.7058743,C26,-0.3727199,0,0,0,0
117.8057944,C26,0.9432414,0,0,0,0
117.9057145,C26,1.20637,0,0,0,0
118.0056346,C26,2.299275,0,0,0,0
118.1055547,C26,1.953625,0,0,0,0
118.2054748,C26,3.707646,0,0,0,0
118.3053949,C26,0.8245673,0,0,0,0
118.4053149,C26,0.6412079,0,0,0,0
118.505235,C26,1.869266,0,0,0,0
118.6051551,C26,1.631921,0,0,0,0
118.7050752,C26,3.560153,0,0,0,0
118.8049953,C26,4.037889,0,0,0,0
118.9049154,C26,3.013934,0,0,0,0
119.0048355,C26,2.436597,0,0,0,0
119.1047556,C26,2.569556,0,0,0,0
119.2046757,C26,4.677443,0,0,0,0
119.3045958,C26,3.085751,0,0,0,0
119.4045159,C26,1.597956,0,0,0,0
119.504436,C26,2.920679,0,0,0,0
119.6043561,C26,3.129769,0,0,0,0
119.7042762,C26,3.914345,0,0,0,0
119.8041963,C26,2.947412,0,0,0,0
119.9041164,C26,5.270303,0,0,0,0
120.0040365,C26,4.968149,0,0,0,0
120.1039566,C26,5.67097,0,0,0,0
120.2038767,C26,3.322375,0,0,0,0
120.3037968,C26,4.380388,0,0,0,0
120.4037169,C26,2.910835,0,0,0,0
120.503637,C26,3.366499,0,0,0,0
120.6035571,C26,3.347125,0,1,1,1
120.7034772,C26,5.767257,0,0,1,0
120.8033973,C26,7.834044,0,0,1,0
120.9033174,C26,3.6053,0,0,1,0
121.0032375,C26,5.409379,0,0,1,0
121.1031576,C26,3.46604,0,0,1,0
121.2030777,C26,4.700216,0,0,1,0
121.3029978,C26,5.365125,0,0,1,0
121.4029179,C26,6.466227,0,0,1,0
